region_id,region,improved_water_pct,surface_water_pct,water_over30min_pct,improved_sanitation_pct,open_defecation_pct,female_literacy_pct,male_literacy_pct
1,AHAFO,81.6,11.6,8.6,49.8,11.8,48.3,70.1
2,ASHANTI,96.7,1.4,2.6,81.4,9.3,61.5,76.8
3,BONO,91.8,7.1,7.1,69.2,13.0,61.5,76.1
4,BONO EAST,82.3,16.8,5.9,49.6,44.0,44.9,64.3
5,CENTRAL,90.2,9.1,5.7,69.8,12.7,72.9,74.1
6,EASTERN,87.3,9.8,2.1,73.5,5.7,66.7,72.8
7,GREATER ACCRA,98.5,1.5,0.2,91.2,4.9,79.2,93.9
8,NORTHERN,70.6,26.4,18.6,25.9,70.6,34.1,52.4
9,NORTHERN EAST,57.5,17.4,27.5,20.5,64.2,27.2,50.6
10,OTI,63.0,35.6,10.1,42.8,50.6,40.8,57.5
11,SAVANNAH,58.2,38.8,14.2,23.6,73.6,30.9,51.0
12,UPPER EAST,95.5,0.4,10.6,27.1,71.3,55.2,63.5
13,UPPER WEST,97.8,1.3,18.6,25.0,56.4,51.0,51.3
14,VOLTA,86.4,10.8,3.6,67.2,21.7,72.0,86.8
15,WESTERN,92.4,5.5,2.2,70.2,9.6,65.4,76.0
16,WESTERN NORTH,81.5,7.0,7.7,49.1,6.3,47.8,74.5
