gj,genuine_dep_pca,poverty_incidence,ntd_pov_belt
North East Gonja,2.62,60.4,Yes
North Gonja,2.56,58.4,Yes
Nkwanta North,2.49,55.2,Yes
Central Gonja,2.38,61.8,Yes
Tolon,2.28,57.5,Yes
Mion,2.14,53.4,Yes
Gushegu,2.13,51.5,Yes
Sawla-Tuna-Kalba,2.11,54.2,Yes
Mamprugu Moagduri,2.06,44.5,Yes
Karaga,2.06,50.5,Yes
Kpandai,1.82,48.6,Yes
Krachi Nchumuru,1.76,47.2,Yes
Wa East,1.72,48.7,Yes
Nanumba South,1.71,46.3,Yes
Sene East,1.67,49.5,Yes
Zabzugu,1.54,42.7,Yes
East Mamprusi,1.53,54.7,Yes
Nanumba North,1.48,41.5,Yes
Kumbungu,1.41,45.0,Yes
Nkwanta South Municipal,1.39,42.8,Yes
Bawku West,1.19,47.6,Yes
East Gonja Municipal,1.11,38.8,Yes
West Mamprusi Municipal,0.85,41.5,Yes
Yendi Municipal,0.84,38.3,Yes
Krachi West,0.67,37.4,Yes
Pru East,0.54,30.3,Yes
West Gonja,0.47,39.7,Yes
Sene West,0.42,26.8,Yes
Bunkpurugu Nakpanduri,0.39,38.3,Yes
Sissala East,0.37,28.8,Yes
Kintampo North Municipal,0.25,28.1,Yes
